SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	ClusterCenterDist
001	HG02256.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n167681471	167681471	1.0	0.0	0.3854
002	HG02053.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n235122107	235122107	1.0	0.0	0.2013
003	HG02144.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n243586451	243586451	1.0	0.0	0.0984
004	HG01958.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n167337941	167337941	1.0	0.0	0.3013
005	HG02111.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n215775296	215775296	1.0	0.0	0.1445
006	HG01890.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n412619894	412619894	1.0	0.0	0.2
007	HG02095.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n337212617	337212617	1.0	0.0	0.2721
008	HG01912.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n161287640	161287640	1.0	0.0	0.2597
009	HG02307.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n204036571	204036571	1.0	0.0	0.1197
010	HG01886.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n454195598	454195598	1.0	0.0	0.7217
011	HG02051.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n215780148	215780148	1.0	0.0	0.2127
012	HG02283.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n502730918	502730918	1.0	0.0	0.817
013	HG02284.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n446080771	446080771	1.0	0.0	0.8346
014	HG01990.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n269616903	269616903	1.0	0.0	0.1511
015	HG02010.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n421130292	421130292	1.0	0.0	0.3195
016	HG01989.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n161200479	161200479	1.0	0.0	0.2736
017	HG01880.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n208995442	208995442	1.0	0.0	0.3272
018	HG02282.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n450100578	450100578	1.0	0.0	0.2118
019	HG02012.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n249313020	249313020	1.0	0.0	0.1685
020	HG01879.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n167134794	167134794	1.0	0.0	0.2264
021	HG02009.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n461891794	461891794	1.0	0.0	0.3568
022	HG01889.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n453709291	453709291	1.0	0.0	0.3911
023	HG02308.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n289326292	289326292	1.0	0.0	0.1475
024	HG02281.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n406676267	406676267	1.0	0.0	0.443
025	HG02143.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n223161416	223161416	1.0	0.0	0.1094
026	HG01956.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n286184120	286184120	1.0	0.0	0.1508
027	HG01915.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n168122171	168122171	1.0	0.0	0.3104
028	HG02052.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n355330742	355330742	1.0	0.0	0.905
029	HG01988.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n164093887	164093887	1.0	0.0	0.2789
030	HG02108.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n221771870	221771870	1.0	0.0	0.1278
031	HG02014.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n382697091	382697091	1.0	0.0	1.0
032	HG01985.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n227016146	227016146	1.0	0.0	0.2256
033	HG02309.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n203271864	203271864	1.0	0.0	0.1004
034	HG02255.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n142688215	142688215	1.0	0.0	0.3716
035	HG02054.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n133149707	133149707	1.0	0.0	0.3757
036	HG02013.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n230560150	230560150	1.0	0.0	0.2552
037	HG01896.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n164988142	164988142	1.0	0.0	0.2817
038	HG01882.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n273960773	273960773	1.0	0.0	0.1727
039	HG01894.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n179295886	179295886	1.0	0.0	0.2829
040	HG01914.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n217190841	217190841	1.0	0.0	0.176
041	HG01986.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.sorted.md_classic_n231422574	231422574	1.0	0.0	0.2566
042	Gamba2014_SRR1187681.sorted.md_classic_n31821	31821	0.0	1.0	0.4287
043	Gamba2014_SRR1187679.sorted.md_classic_n2514	2514	0.0	1.0	0.2882
044	skoglund_ERR476787.sorted.md_classic_n26583818	26583818	0.0	1.0	0.7666
045	Lazaridis2016_I1945.1240k_classic_n1293912	1293912	0.0	1.0	0.5349
046	skoglund_ERR476790.sorted.md_classic_n383135	383135	0.0	1.0	0.4992
047	Lazaridis2016_I1665.1240k_classic_n10179323	10179323	0.0	1.0	0.4503
048	Lazaridis2016_I1679.1240k_classic_n276056	276056	0.0	1.0	0.4438
049	Gamba2014_SRR1187678.sorted.md_classic_n6882228	6882228	0.0	1.0	0.2198
050	Lazaridis2016_I1707.1240k_classic_n1095732	1095732	0.0	1.0	0.4298
051	Lazaridis2016_I1671.1240k_classic_n4560608	4560608	0.0	1.0	0.422
052	skoglund_ERR476789.sorted.md_classic_n916001	916001	0.0	1.0	0.4818
053	Lazaridis2016_I1632.1240k_classic_n15130847	15130847	0.0	1.0	0.5169
054	Lazaridis2016_I1944.1240k_classic_n290719	290719	0.0	1.0	0.7041
055	Lazaridis2016_I1415.1240k_classic_n126495	126495	0.0	1.0	0.4281
056	Lazaridis2016_I1730.1240k_classic_n6105160	6105160	0.0	1.0	0.3528
057	skoglund_ERR476776.sorted.md_classic_n9710540	9710540	0.0	1.0	0.5755
058	Lazaridis2016_I1072.1240k_classic_n5037153	5037153	0.0	1.0	0.4677
059	Lazaridis2016_I1705.1240k_classic_n7033372	7033372	0.0	1.0	0.2261
060	Lazaridis2016_I1407.1240k_classic_n13792416	13792416	0.0	1.0	0.48
061	Lazaridis2016_I1633.1240k_classic_n15762538	15762538	0.0	1.0	0.2837
062	Lazaridis2016_I1634.1240k_classic_n13890598	13890598	0.0	1.0	0.4619
063	Gamba2014_SRR1187908.sorted.md_classic_n13247	13247	0.0	1.0	0.4393
064	Lazaridis2016_I1710.1240k_classic_n937849	937849	0.0	1.0	0.3759
065	Lazaridis2016_I1674.1240k_classic_n9071502	9071502	0.0	1.0	0.3248
066	Lazaridis2016_I1687.1240k_classic_n228985	228985	0.0	1.0	0.5807
067	Lazaridis2016_I1670.1240k_classic_n1548375	1548375	0.0	1.0	0.4621
068	skoglund_ERR476777.sorted.md_classic_n65795602	65795602	0.0	1.0	0.5749
069	Gamba2014_SRR1187900.sorted.md_classic_n19005	19005	0.0	1.0	0.3525
070	skoglund_ERR476786.sorted.md_classic_n2067620	2067620	0.0	1.0	0.6121
071	skoglund_ERR476774.sorted.md_classic_n1050666	1050666	0.0	1.0	0.383
072	skoglund_ERR476781.sorted.md_classic_n4546654	4546654	0.0	1.0	0.6141
073	skoglund_ERR476807.sorted.md_classic_n257136	257136	0.0	1.0	0.6108
074	Lazaridis2016_I1635.1240k_classic_n12942547	12942547	0.0	1.0	0.3103
075	Gamba2014_SRR1187903.sorted.md_classic_n19054	19054	0.0	1.0	0.4752
076	Lazaridis2016_I1949.1240k_classic_n2073890	2073890	0.0	1.0	0.7441
077	Lazaridis2016_I1416.1240k_classic_n298799	298799	0.0	1.0	0.6987
078	Lazaridis2016_I1658.1240k_classic_n17980245	17980245	0.0	1.0	0.3962
079	skoglund_ERR476779.sorted.md_classic_n12567874	12567874	0.0	1.0	0.4392
080	skoglund_ERR476778.sorted.md_classic_n66156266	66156266	0.0	1.0	0.5762
081	skoglund_ERR476780.sorted.md_classic_n1944485	1944485	0.0	1.0	0.4342
082	Lazaridis2016_I1700.1240k_classic_n308377	308377	0.0	1.0	0.5789
083	Lazaridis2016_I1709.1240k_classic_n147367	147367	0.0	1.0	0.4792
084	Gamba2014_SRR1187898.sorted.md_classic_n15302	15302	0.0	1.0	0.4144
085	Lazaridis2016_I1727.1240k_classic_n252149	252149	0.0	1.0	0.4783
086	Gamba2014_SRR1187896.sorted.md_classic_n1429	1429	0.0	1.0	0.3393
087	Gamba2014_SRR1187685.sorted.md_classic_n2254	2254	0.0	1.0	0.6511
088	Lazaridis2016_I1656.1240k_classic_n16006360	16006360	0.0	1.0	0.4993
089	Gamba2014_SRR1187680.sorted.md_classic_n32173	32173	0.0	1.0	0.428
090	Lazaridis2016_I1584.1240k_classic_n5954571	5954571	0.0	1.0	0.3263
091	skoglund_ERR476808.sorted.md_classic_n987651	987651	0.0	1.0	0.6097
092	skoglund_ERR476775.sorted.md_classic_n4806029	4806029	0.0	1.0	0.5453
093	Gamba2014_SRR1187902.sorted.md_classic_n53986453	53986453	0.0	1.0	0.3022
094	Gamba2014_SRR1187910.sorted.md_classic_n53878714	53878714	0.0	1.0	0.2747
095	Lazaridis2016_I1414.1240k_classic_n192573	192573	0.0	1.0	0.4068
096	Gamba2014_SRR1187907.sorted.md_classic_n39486760	39486760	0.0	1.0	0.2761
097	Gamba2014_SRR1187912.sorted.md_classic_n54905900	54905900	0.0	1.0	0.2631
098	Gamba2014_SRR1187897.sorted.md_classic_n49849874	49849874	0.0	1.0	0.281
099	Gamba2014_SRR1187906.sorted.md_classic_n13796	13796	0.0	1.0	0.3237
100	Gamba2014_SRR1187682.sorted.md_classic_n7976373	7976373	0.0	1.0	0.2199
101	Gamba2014_SRR1187684.sorted.md_classic_n5701087	5701087	0.0	1.0	0.5626
102	Lazaridis2016_I1661.1240k_classic_n10378631	10378631	0.0	1.0	0.4388
103	Gamba2014_SRR1187683.sorted.md_classic_n3150	3150	0.0	1.0	0.3084
104	skoglund_ERR476792.sorted.md_classic_n8533	8533	0.0	1.0	0.2067
105	Lazaridis2016_I1662.1240k_classic_n6899240	6899240	0.0	1.0	0.3867
106	Gamba2014_SRR1186714.sorted.md_classic_n58391799	58391799	0.0	1.0	0.3335
107	Lazaridis2016_I1951.1240k_classic_n1817173	1817173	0.0	1.0	1.0
108	Gamba2014_SRR1187895.sorted.md_classic_n4335162	4335162	0.0	1.0	0.2428
109	Lazaridis2016_I1706.1240k_classic_n10032966	10032966	0.0	1.0	0.2592
110	skoglund_ERR476791.sorted.md_classic_n3653591	3653591	0.0	1.0	0.5032
111	Lazaridis2016_I0861.1240k_classic_n3018170	3018170	0.0	1.0	0.5601
112	Lazaridis2016_I1631.1240k_classic_n19458452	19458452	0.0	1.0	0.53
113	Lazaridis2016_I1409.1240k_classic_n459980	459980	0.0	1.0	0.481
114	Gamba2014_SRR1187905.sorted.md_classic_n58535550	58535550	0.0	1.0	0.228
115	skoglund_ERR476783.sorted.md_classic_n1089201	1089201	0.0	1.0	0.7004
116	Lazaridis2016_I1699.1240k_classic_n2959953	2959953	0.0	1.0	0.3853
117	Gamba2014_SRR1186791.sorted.md_classic_n751311607	751311607	0.0	1.0	0.2989
118	Lazaridis2016_I1955.1240k_classic_n11140672	11140672	0.0	1.0	0.4981
119	Gamba2014_SRR1186786.sorted.md_classic_n20074	20074	0.0	1.0	0.5347
120	Gamba2014_SRR1187911.sorted.md_classic_n17092	17092	0.0	1.0	0.4077
121	Lazaridis2016_I1290.1240k_classic_n21744595	21744595	0.0	1.0	0.4231
122	Lazaridis2016_I1704.1240k_classic_n1072700	1072700	0.0	1.0	0.4091
123	skoglund_ERR476784.sorted.md_classic_n919692	919692	0.0	1.0	0.5619
124	Lazaridis2016_I0867.1240k_classic_n13222483	13222483	0.0	1.0	0.3714
125	Lazaridis2016_I1701.1240k_classic_n116784	116784	0.0	1.0	0.3886
126	Gamba2014_SRR1186790.sorted.md_classic_n684053001	684053001	0.0	1.0	0.326
127	Lazaridis2016_I1069.1240k_classic_n305695	305695	0.0	1.0	0.6774
128	Lazaridis2016_I1685.1240k_classic_n181660	181660	0.0	1.0	0.4817
129	skoglund_ERR476785.sorted.md_classic_n556746	556746	0.0	1.0	0.6097
130	skoglund_ERR476788.sorted.md_classic_n26832916	26832916	0.0	1.0	0.7683
131	Lazaridis2016_I1690.1240k_classic_n195918	195918	0.0	1.0	0.5096
132	skoglund_ERR476782.sorted.md_classic_n7665567	7665567	0.0	1.0	0.6109
